Second,Volt
-3.87500000000,0.05200,
-3.87479996681,0.05200,
-3.87459993362,0.04800,
-3.87439990044,0.04800,
-3.87419986725,0.05200,
-3.87399983406,0.04800,
-3.87379980087,0.05200,
-3.87360000610,0.04800,
-3.87339997292,0.04800,
-3.87319993973,0.04800,
-3.87299990654,0.05200,
-3.87279987335,0.04800,
-3.87259984016,0.05200,
-3.87239980698,0.04800,
-3.87220001221,0.05200,
-3.87199997902,0.05200,
-3.87179994583,0.07200,
-3.87159991264,0.05600,
-3.87139987946,0.04000,
-3.87119984627,0.04400,
-3.87099981308,0.04800,
-3.87080001831,0.04400,
-3.87059998512,0.04800,
-3.87039995193,0.04800,
-3.87019991875,0.05200,
-3.86999988556,0.05600,
-3.86979985237,0.06000,
-3.86959981918,0.05200,
-3.86939978600,0.06000,
-3.86919999123,0.06000,
-3.86899995804,0.04800,
-3.86879992485,0.04000,
-3.86859989166,0.04000,
-3.86839985847,0.04800,
-3.86819982529,0.04800,
-3.86799979210,0.04800,
-3.86779999733,0.05200,
-3.86759996414,0.04800,
-3.86739993095,0.04800,
-3.86719989777,0.04800,
-3.86699986458,0.04400,
-3.86679983139,0.05200,
-3.86659979820,0.04800,
-3.86640000343,0.05200,
-3.86619997025,0.04800,
-3.86599993706,0.04800,
-3.86579990387,0.05200,
-3.86559987068,0.05200,
-3.86539983749,0.05200,
-3.86519980431,0.04800,
-3.86500000954,0.04800,
-3.86479997635,0.04800,
-3.86459994316,0.04800,
-3.86439990997,0.04800,
-3.86419987679,0.05200,
-3.86399984360,0.05600,
-3.86379981041,0.05200,
-3.86360001564,0.05600,
-3.86339998245,0.04800,
-3.86319994926,0.03600,
-3.86299991608,0.03600,
-3.86279988289,0.03600,
-3.86259984970,0.05200,
-3.86239981651,0.05200,
-3.86219978333,0.05200,
-3.86199998856,0.05200,
-3.86179995537,0.05200,
-3.86159992218,0.05600,
-3.86139988899,0.04800,
-3.86119985580,0.07200,
-3.86099982262,0.04800,
-3.86079978943,0.03600,
-3.86059999466,0.05200,
-3.86039996147,0.05600,
-3.86019992828,0.04400,
-3.85999989510,0.03600,
-3.85979986191,0.05600,
-3.85959982872,0.04800,
-3.85939979553,0.05200,
-3.85920000076,0.05200,
-3.85899996758,0.04800,
-3.85879993439,0.04800,
-3.85859990120,0.05200,
-3.85839986801,0.05600,
-3.85819983482,0.04400,
-3.85799980164,0.05200,
-3.85780000687,0.05200,
-3.85759997368,0.04800,
-3.85739994049,0.04800,
-3.85719990730,0.04800,
-3.85699987411,0.05200,
-3.85679984093,0.04800,
-3.85659980774,0.05200,
-3.85640001297,0.04800,
-3.85619997978,0.04800,
-3.85599994659,0.05600,
-3.85579991341,0.04800,
-3.85559988022,0.05200,
-3.85539984703,0.05200,
-3.85519981384,0.02800,
-3.85500001907,0.03600,
-3.85479998589,0.03600,
-3.85459995270,0.04800,
-3.85439991951,0.04800,
-3.85419988632,0.05200,
-3.85399985313,0.04800,
-3.85379981995,0.04800,
-3.85359978676,0.05200,
-3.85339999199,0.04800,
-3.85319995880,0.05600,
-3.85299992561,0.04400,
-3.85279989243,0.03600,
-3.85259985924,0.02800,
-3.85239982605,0.03200,
-3.85219979286,0.05600,
-3.85199999809,0.05600,
-3.85179996490,0.04800,
-3.85159993172,0.05600,
-3.85139989853,0.05200,
-3.85119986534,0.05600,
-3.85099983215,0.04800,
-3.85079979897,0.04800,
-3.85060000420,0.05200,
-3.85039997101,0.04800,
-3.85019993782,0.05600,
-3.84999990463,0.05600,
-3.84979987144,0.05200,
-3.84959983826,0.05200,
-3.84939980507,0.05600,
-3.84920001030,0.04800,
-3.84899997711,0.05600,
-3.84879994392,0.05200,
-3.84859991074,0.04800,
-3.84839987755,0.04800,
-3.84819984436,0.05600,
-3.84799981117,0.05200,
-3.84780001640,0.04400,
-3.84759998322,0.04800,
-3.84739995003,0.04800,
-3.84719991684,0.05200,
-3.84699988365,0.04800,
-3.84679985046,0.03200,
-3.84659981728,0.05200,
-3.84639978409,0.05600,
-3.84619998932,0.06000,
-3.84599995613,0.05600,
-3.84579992294,0.06000,
-3.84559988976,0.04800,
-3.84539985657,0.05600,
-3.84519982338,0.04400,
-3.84499979019,0.04800,
-3.84479999542,0.03600,
-3.84459996223,0.04800,
-3.84439992905,0.02800,
-3.84419989586,0.05600,
-3.84399986267,0.05600,
-3.84379982948,0.04800,
-3.84359979630,0.05600,
-3.84340000153,0.05600,
-3.84319996834,0.05600,
-3.84299993515,0.05200,
-3.84279990196,0.04800,
-3.84259986877,0.04800,
-3.84239983559,0.04800,
-3.84219980240,0.04800,
-3.84200000763,0.04800,
-3.84179997444,0.04800,
-3.84159994125,0.05600,
-3.84139990807,0.04800,
-3.84119987488,0.04800,
-3.84099984169,0.05200,
-3.84079980850,0.05200,
-3.84060001373,0.04800,
-3.84039998055,0.05600,
-3.84019994736,0.05200,
-3.83999991417,0.05200,
-3.83979988098,0.04800,
-3.83959984779,0.04800,
-3.83939981461,0.04800,
-3.83920001984,0.05600,
-3.83899998665,0.05600,
-3.83879995346,0.04800,
-3.83859992027,0.05600,
-3.83839988708,0.06000,
-3.83819985390,0.05600,
-3.83799982071,0.05600,
-3.83779978752,0.05600,
-3.83759999275,0.05200,
-3.83739995956,0.04800,
-3.83719992638,0.05600,
-3.83699989319,0.04400,
-3.83679986000,0.04400,
-3.83659982681,0.04800,
